Identifier Type,Identifier Value,Amortized Cost,Market Value,Accounting Intent,Type of Hedge,Hedged Risk,Hedge Interest Rate,Hedge Percentage,Hedge Horizon,Hedged Cash Flow,Sidedness,Hedging Instrument at Fair Value,Effective Portion of Cumulative Gains and Losses,ASU 2017-12 Hedge Designations
SEDOL,ID595187,48713269.9,8182718.45,HTM,1,11,5,0.5759,2031-10-18,3,2,-40281345,29668394,2
CUSIP,ID633363,20883413.72,23527192.53,HTM,2,1,4,0.2174,2025-09-12,2,2,-38913377,21588908,2
INTERNAL,ID626231,31736130.65,37825364.19,HTM,1,5,3,0.6186,2028-03-25,1,1,-37399714,-28895372,3
CUSIP,ID263753,22227113.39,1111623.44,EQ,2,10,1,0.0013,2025-05-07,2,1,39221338,1947217,3
CUSIP,ID966606,40602399.99,25906660.91,HTM,1,9,2,0.1373,2028-06-23,1,2,18286805,-41667862,2
SEDOL,ID469190,1704284.73,15494919.32,AFS,1,4,5,0.2106,2025-04-25,4,2,-18774340,38085280,3
ISIN,ID451450,9039154.42,49091804.93,EQ,2,1,4,0.6351,2028-06-23,6,1,15565743,4819523,2
INTERNAL,ID534154,46421736.97,37034011.16,EQ,2,7,5,0.4687,2026-04-26,2,2,-21398927,-33506769,3
INTERNAL,ID963764,41824860.57,9010942.57,HTM,1,7,1,0.0055,2032-09-16,2,2,-3459558,-5404887,2
SEDOL,ID980255,30268752.54,49594584.61,HTM,1,4,5,0.3408,2029-01-05,6,2,-42808326,-31674006,1
SEDOL,ID148874,4106531.01,5491624.51,AFS,2,4,4,0.0644,2034-03-31,5,1,-21005380,-4339389,1
ISIN,ID945009,4994563.83,42709034.23,EQ,1,2,3,0.9516,2033-07-09,1,1,-8432617,-2618396,3
CUSIP,ID312703,38181672.94,7933800.08,EQ,2,7,3,0.5351,2029-06-26,4,2,-27419059,-26535816,1
INTERNAL,ID263558,28517436.92,34874097.07,HTM,2,1,2,0.6875,2034-12-13,6,2,-14521155,20900057,1
CUSIP,ID185966,12303122.88,7301800.48,HTM,2,7,3,0.5192,2032-09-12,4,1,20950240,27296840,3
CUSIP,ID439991,19602169.89,45385735.63,EQ,1,11,2,0.7441,2031-01-31,5,2,-20717326,-36389472,3
INTERNAL,ID897302,26311590.58,27974401.9,HTM,2,11,1,0.1483,2033-04-27,1,2,23662618,3327583,1
INTERNAL,ID214773,5813834.1,38379108.08,AFS,2,3,1,0.6684,2026-04-16,4,1,9485742,7688414,1
INTERNAL,ID560422,29016329.83,18427599.17,EQ,1,3,1,0.8995,2026-12-19,3,2,11079236,11103771,3
INTERNAL,ID857158,18284129.3,33714318.91,HTM,2,4,3,0.5366,2025-08-06,4,2,37473673,-12142534,3
ISIN,ID574794,5860223.45,9888366.41,HTM,2,8,5,0.8194,2029-03-17,4,2,-2180313,-47724146,3
SEDOL,ID853994,40541231.8,22642886.05,HTM,2,3,1,0.7319,2029-02-28,4,2,23653842,12113836,1
ISIN,ID579716,11559613.51,14992028.22,HTM,2,6,2,0.585,2028-04-11,3,1,-16265363,42690605,2
INTERNAL,ID489108,21934737.73,9316360.06,HTM,2,9,5,0.3057,2032-02-12,5,1,18278403,-37781043,1
ISIN,ID154887,2793745.62,28701710.48,EQ,2,1,2,0.8859,2028-03-19,5,1,-5006668,42392559,3
CUSIP,ID139468,1605625.23,2840816.62,EQ,2,9,4,0.177,2030-10-25,6,1,18347412,28828426,3
ISIN,ID685290,2553752.35,36738579.36,HTM,2,4,4,0.1228,2027-03-14,5,2,-27505641,-12795164,2
ISIN,ID151275,19646396.25,44970604.12,HTM,2,4,4,0.0719,2028-08-04,5,2,18137239,-30005260,1
ISIN,ID466726,17266063.58,48164741.32,EQ,2,1,1,0.0919,2032-03-29,4,2,6847857,28919112,2
SEDOL,ID395869,42699022.14,28648576.04,HTM,2,4,1,0.8047,2026-06-26,1,2,32141722,35008623,3
SEDOL,ID724877,38791323.81,44256808.59,HTM,1,6,5,0.9164,2027-08-04,4,1,46309294,-40493359,3
CUSIP,ID195347,26181021.3,9460819.68,AFS,1,8,4,0.8499,2026-03-22,1,2,-44855915,-18447953,1
CUSIP,ID665101,2333841.96,40949723.1,AFS,2,11,3,0.1767,2032-03-26,1,1,-34980928,4561109,1
CUSIP,ID882869,44513836.81,44898662.38,HTM,2,9,3,0.6933,2027-10-01,6,1,26140987,-19672513,1
CUSIP,ID930078,18040598.92,11810670.44,EQ,1,1,4,0.9504,2028-04-28,2,1,12403550,-9070332,1
CUSIP,ID805492,46930638.81,26716253.78,HTM,1,9,3,0.8775,2027-07-02,6,2,-33010741,4117030,2
CUSIP,ID376926,9564841.9,23818600.46,AFS,2,8,2,0.398,2026-09-01,1,2,-39353226,39191256,3
SEDOL,ID661430,6793890.68,23228741.73,HTM,2,8,1,0.1622,2028-05-14,6,1,-16313281,-5064391,2
CUSIP,ID193769,42158915.13,45889445.08,AFS,2,1,1,0.3737,2030-11-21,6,2,-41484624,34752357,2
INTERNAL,ID918672,45465929.53,16613145.14,AFS,2,10,3,0.8838,2026-11-17,2,1,44235175,-3153375,1
ISIN,ID644130,32965467.41,13032073.55,EQ,2,3,4,0.2414,2026-10-06,3,2,-42361913,24412344,3
ISIN,ID584317,14852512.43,16339808.32,HTM,1,9,4,0.3028,2031-08-29,6,2,37857700,-49696298,1
ISIN,ID329397,4726599.07,1053339.96,AFS,1,9,4,0.7534,2029-12-10,6,2,-24176392,-9183755,2
CUSIP,ID317473,41256483.99,43532958.04,HTM,1,1,2,0.3534,2028-05-12,1,2,48493966,8889205,3
INTERNAL,ID101372,21559652.21,11253704.72,AFS,1,8,5,0.7039,2032-05-25,4,2,-49357528,4477010,1
INTERNAL,ID421918,30059652.79,47646164.08,HTM,2,9,1,0.8188,2025-07-07,4,1,16708887,14571229,3
CUSIP,ID276871,45699286.11,18395224.9,AFS,1,7,1,0.3333,2028-02-14,1,2,-45486302,13161535,2
INTERNAL,ID418525,20375486.77,1823963.31,HTM,2,8,1,0.603,2030-03-23,6,1,8496378,-48687626,3
ISIN,ID285604,32354954.32,45752970.76,EQ,2,3,3,0.8833,2033-05-22,6,1,-31985111,49412935,3
CUSIP,ID494665,2491249.22,42365452.38,HTM,1,8,4,0.8743,2028-01-08,2,1,26636727,24864066,1
CUSIP,ID285032,29258676.61,14556228.25,EQ,1,4,2,0.4541,2025-09-04,5,2,22900240,27095703,3
SEDOL,ID680160,20365523.91,35249402.73,HTM,1,11,4,0.1756,2033-01-23,4,2,-30362022,-14935337,2
SEDOL,ID991612,42103768.31,11096858.88,EQ,1,6,2,0.5265,2028-09-20,1,1,7632764,-11351414,2
CUSIP,ID964530,6852438.64,46814907.06,EQ,2,11,5,0.4789,2032-12-13,1,1,2740002,-7749334,3
CUSIP,ID437377,34833112.76,28091608.27,EQ,2,5,1,0.8368,2033-09-25,3,2,46030069,20297011,1
CUSIP,ID543465,5102813.31,21340891.99,EQ,1,9,3,0.976,2030-02-05,4,2,27312851,-7662946,1
CUSIP,ID213792,30315378.51,46602466.6,EQ,2,3,2,0.9803,2031-12-02,1,1,-15013699,-30835041,2
INTERNAL,ID544709,29652560.17,39954571.86,HTM,1,7,5,0.2647,2034-08-28,6,2,-8004676,-3553446,2
CUSIP,ID260285,22182072.78,35701374.84,HTM,2,2,5,0.062,2033-04-17,6,1,-49912875,-17971832,2
ISIN,ID393807,32162546.46,32379329.06,AFS,2,4,3,0.9412,2032-09-03,1,2,48657472,-18443418,2
SEDOL,ID736664,31999894.99,3296532.42,HTM,2,10,5,0.7242,2030-08-05,3,1,23871862,-43964306,1
CUSIP,ID488214,16850751.12,9872706.53,EQ,2,5,1,0.2541,2033-10-24,2,2,17672673,49462316,3
INTERNAL,ID426303,31303847.56,3470122.46,HTM,2,1,3,0.66,2030-09-06,3,1,38221580,41052404,3
INTERNAL,ID717145,6545109.95,39636071.08,AFS,1,6,2,0.3371,2033-03-14,6,1,-6375436,-33668096,1
ISIN,ID289105,14312449.26,47163349.84,EQ,2,2,3,0.9823,2028-02-20,4,1,-7927215,-9434917,3
ISIN,ID988674,37929736.85,42204086.44,EQ,1,2,3,0.7479,2032-02-15,4,2,-34867759,45999336,2
SEDOL,ID755551,1619142.86,10254456.18,AFS,1,3,4,0.7196,2025-11-05,2,2,-923831,43236022,2
ISIN,ID942754,10751168.68,6446168.42,HTM,2,11,3,0.6366,2031-10-25,3,2,45945834,-14557532,2
SEDOL,ID383273,29066155.59,38346816.8,EQ,1,4,3,0.8094,2030-04-03,1,2,35505504,-12722425,3
ISIN,ID399328,43954912.38,29899045.99,AFS,1,7,1,0.7823,2027-10-19,1,1,43485393,22045512,1
ISIN,ID427500,17284684.52,22291326.57,EQ,2,7,2,0.8583,2028-05-03,2,2,7574556,-40759783,2
ISIN,ID252037,39550326.62,36286737.82,AFS,2,4,1,0.2994,2034-06-27,5,2,-38649341,-1644905,1
SEDOL,ID545308,19540853.57,35884757.91,AFS,2,6,1,0.9837,2028-12-21,6,1,-4038769,-700506,2
INTERNAL,ID186056,12749040.87,23433827.48,HTM,2,4,4,0.2812,2027-09-18,4,2,39771982,12701076,2
INTERNAL,ID814564,22648922.03,40899655.26,EQ,1,8,4,0.8248,2031-01-06,4,1,22599196,1707243,1
CUSIP,ID427177,44306598.04,4113326.32,EQ,1,10,5,0.4083,2031-04-03,1,1,-11329698,-30022679,1
INTERNAL,ID789546,39003795.43,49983029.43,AFS,2,2,5,0.1309,2029-05-11,2,2,-45856411,-39295237,2
SEDOL,ID850205,12227674.31,17514119.3,HTM,2,9,1,0.7194,2033-09-06,6,1,41441998,23388751,3
CUSIP,ID133128,25701673.26,19299739.6,HTM,1,1,5,0.3214,2033-02-24,6,1,-19754500,-29141377,2
INTERNAL,ID900989,25318027.56,31992819.88,EQ,2,10,2,0.8766,2030-02-05,1,2,-8867422,30055435,3
INTERNAL,ID349118,39876687.07,39695803.75,HTM,1,4,5,0.081,2031-01-09,1,2,7904214,34984762,2
ISIN,ID686067,18821086.77,40968327.11,EQ,2,11,3,0.8973,2033-04-20,2,1,-27882497,-37619839,1
ISIN,ID871757,19033753.25,40313108.79,EQ,2,3,4,0.6533,2034-11-17,2,2,35752634,39882383,2
ISIN,ID255821,29521921.6,25229220.25,AFS,1,1,3,0.0889,2027-07-17,3,2,-9708130,-6175793,3
CUSIP,ID850780,2691566.14,17481804.33,HTM,2,5,1,0.9207,2030-08-02,1,1,31387570,40342651,3
CUSIP,ID947999,8316540.26,35960289.45,AFS,2,5,1,0.835,2028-06-03,1,2,-6396919,-39839946,2
SEDOL,ID799390,16826139.11,3566869.29,HTM,1,9,5,0.2045,2030-11-11,6,2,38587042,-48052431,1
CUSIP,ID196208,48284798.66,30594007.88,AFS,2,1,2,0.3221,2030-07-15,5,2,22356991,-36563894,2
ISIN,ID182192,37715543.19,35995157.68,EQ,1,8,2,0.1618,2032-01-01,2,2,-3748069,37541399,3
CUSIP,ID316451,45276859.79,40678533.76,EQ,1,4,5,0.4906,2025-06-23,5,1,47291184,-5409152,2
ISIN,ID883434,7485749.93,41899313.99,HTM,1,9,4,0.303,2034-01-10,2,2,-40558521,14057533,2
INTERNAL,ID726426,21888944.55,1294944.25,HTM,1,11,4,0.2819,2034-10-24,1,2,27812084,-43932093,1
CUSIP,ID592801,45268987.09,34871917.73,EQ,2,8,3,0.8276,2029-09-30,5,1,-14706908,-41453419,3
INTERNAL,ID119520,10831997.17,48184551.21,AFS,1,10,1,0.569,2034-04-07,4,2,-10306987,-42332961,3
ISIN,ID497846,4548460.43,4218034.22,AFS,2,6,3,0.5761,2027-08-03,5,2,42974583,18180410,3
CUSIP,ID372379,15687543.99,46471455.68,AFS,2,6,2,0.7375,2033-10-13,5,2,-10559862,10677768,2
SEDOL,ID842026,47394411.12,42520861.39,AFS,1,11,4,0.8825,2032-11-14,6,2,-14646824,19597053,1
INTERNAL,ID916416,24591490.66,7072154.48,HTM,1,3,4,0.6048,2031-02-05,4,1,36071534,28254114,3
INTERNAL,ID761319,2444770.21,25408502.49,EQ,2,7,3,0.3279,2030-07-23,2,2,-1044249,-38854977,2
INTERNAL,ID606871,10392288.47,37248798.3,AFS,2,1,3,0.3197,2027-06-14,5,2,-12278614,-10211267,3
ISIN,ID428643,18557063.6,15021248.47,AFS,2,3,5,0.63,2034-10-05,2,2,44201149,34645516,1
SEDOL,ID202742,16163864.38,9528148.07,EQ,2,8,5,0.8478,2032-04-29,2,2,-1854657,-6052701,3
INTERNAL,ID780426,48558370.35,42856034.17,AFS,2,1,1,0.6056,2030-01-11,2,2,21513566,28348420,1
ISIN,ID217619,27583377.87,8092731.35,HTM,2,6,4,0.3475,2034-01-17,1,2,33347682,-14514594,2
ISIN,ID370105,16719325.76,3743185.15,HTM,1,11,1,0.6097,2034-03-24,6,2,8843375,-39911896,1
INTERNAL,ID884109,31046655.38,42744469.78,AFS,1,3,5,0.8524,2031-12-13,3,1,18730939,-35690586,3
INTERNAL,ID826752,29510986.81,26904245.79,HTM,1,5,5,0.1866,2032-06-20,4,2,26534022,-45392441,3
ISIN,ID492770,21435967.37,23055437.96,EQ,1,6,4,0.0491,2031-09-07,4,1,-47416662,44479278,1
CUSIP,ID841720,2735910.63,20347734.4,HTM,2,8,1,0.7736,2029-03-02,2,1,34825318,5529870,3
INTERNAL,ID886188,37470869.23,32052151.81,HTM,2,10,3,0.0045,2033-01-25,2,1,-14535635,30869734,3
SEDOL,ID538208,39653474.82,48315294.57,AFS,1,4,2,0.7591,2031-03-29,4,2,28093208,-4589144,1
ISIN,ID552260,46062216.67,43121460.57,EQ,2,8,4,0.1853,2031-01-10,3,2,39513812,-21919005,3
INTERNAL,ID649322,20306602.2,40453691.66,HTM,2,9,2,0.939,2033-09-29,1,2,-2474453,42146295,1
CUSIP,ID416254,26773142.63,49074072.82,HTM,2,11,2,0.0231,2029-08-16,1,2,-10259871,20832384,3
ISIN,ID326155,47448335.52,10976941.75,EQ,1,3,2,0.774,2031-11-18,5,1,28057540,-11032073,3
CUSIP,ID577612,19357201.96,41326925.45,HTM,1,8,3,0.6583,2027-06-25,1,1,19505621,-37729976,2
ISIN,ID411815,11428789.74,26451375.68,EQ,1,9,2,0.7851,2030-08-27,1,1,17805462,-43493025,1
INTERNAL,ID414064,5303423.49,3846369.38,EQ,2,1,4,0.6568,2027-02-14,3,2,14880416,38255965,3
INTERNAL,ID835749,23696879.47,14811194.5,HTM,2,4,4,0.9358,2026-06-06,3,1,-44422861,22923311,3
SEDOL,ID892840,34982199.66,37260541.07,EQ,2,7,2,0.3913,2026-10-10,1,2,-44609774,36896035,3
INTERNAL,ID925345,27133907.15,2181142.46,HTM,1,1,4,0.3176,2027-05-09,2,2,-20643085,-6560103,2
SEDOL,ID803124,15660010.82,46687054.09,HTM,1,3,4,0.7487,2030-04-07,2,2,-41631761,46333927,2
ISIN,ID700261,27138259.05,41564278.31,EQ,1,6,4,0.5073,2034-10-15,3,1,-15413918,-32068364,1
SEDOL,ID897038,28908337.39,47651508.73,HTM,1,10,4,0.0436,2029-03-14,4,2,-22013371,-22936230,2
SEDOL,ID740257,49090010.95,14674925.26,EQ,1,8,1,0.3009,2025-06-29,2,2,-27596809,-42198910,3
CUSIP,ID563897,22851246.51,39620346.68,EQ,1,9,5,0.9182,2027-06-14,5,1,-27300040,8892404,2
ISIN,ID503163,4636910.83,25059860.61,HTM,1,11,2,0.5109,2027-11-11,3,2,28652438,-46309539,3
ISIN,ID465882,43493247.75,37788032.12,AFS,1,9,5,0.1337,2033-07-11,5,1,42967511,-9387400,1
ISIN,ID306721,42429473.4,28627987.08,AFS,2,8,2,0.1422,2034-12-18,3,1,-32253363,-23032486,1
SEDOL,ID687992,4940514.8,21957719.01,HTM,1,7,5,0.6859,2030-03-24,5,2,-6831654,27835492,3
SEDOL,ID449768,49659596.72,5514956.69,EQ,2,1,1,0.9082,2025-10-19,6,2,-37458228,-38664217,2
CUSIP,ID161279,9585710.96,46904927.6,EQ,1,7,5,0.6837,2029-07-24,4,2,-11308905,-44019173,2
ISIN,ID992851,40503847.85,46894874.41,EQ,2,1,4,0.509,2031-03-29,6,2,2226546,-39738442,2
CUSIP,ID954359,48514612.32,46103757.4,HTM,1,9,5,0.0928,2028-12-26,1,1,-37591652,13997314,2
ISIN,ID642980,36076243.1,8023277.92,AFS,1,2,1,0.264,2034-12-17,6,1,-23175158,-37958828,3
CUSIP,ID744536,17288121.01,12051508.17,EQ,1,6,4,0.9333,2033-03-28,1,1,22076859,-10507005,3
CUSIP,ID355528,49983845.95,14780558.48,HTM,1,1,1,0.1088,2031-10-15,6,1,-9282252,35165054,3
ISIN,ID300245,49908136.61,9530043.22,AFS,1,11,2,0.3632,2030-07-26,5,1,-47331411,-5196693,1
ISIN,ID474225,26628415.57,41643775.21,HTM,2,5,2,0.693,2027-05-14,6,2,-27620656,-19850995,2
SEDOL,ID542223,22191575.01,30770617.73,AFS,1,2,5,0.6548,2027-06-27,5,1,-2177193,18054442,2
CUSIP,ID922012,47020492.11,16829224.16,EQ,2,11,4,0.6105,2025-07-14,6,2,-482659,35363905,3
CUSIP,ID710891,32391182.65,41801008.54,EQ,2,11,4,0.6201,2032-10-29,1,1,-34756540,32491076,2
SEDOL,ID423782,6089864.85,39041503.54,EQ,2,10,5,0.8956,2025-07-24,3,2,6508296,-11584056,1
CUSIP,ID437376,19787742.37,21249101.75,AFS,1,7,2,0.3706,2030-05-09,5,2,1016041,36750648,1
CUSIP,ID791752,42020324.69,22723208.93,HTM,1,9,1,0.0607,2029-09-04,6,1,-45097102,19644339,1
CUSIP,ID672381,17211395.29,11528455.91,EQ,1,9,5,0.349,2031-12-19,3,1,26945865,9086832,1
ISIN,ID286498,7382992.19,36805989.06,HTM,1,5,5,0.7147,2027-04-25,3,2,-32116362,882847,2
CUSIP,ID960840,1123023.6,14281014.72,HTM,1,5,2,0.7067,2028-02-26,1,2,423063,-45419635,2
CUSIP,ID282886,43200799.49,14533612.15,EQ,1,8,4,0.7046,2033-03-15,1,2,-48999330,-41457390,2
CUSIP,ID347336,47828272.61,45861626.21,HTM,2,6,3,0.5086,2034-10-21,6,1,-14982128,-45483199,1
INTERNAL,ID225212,40944394.18,34420564.65,EQ,2,9,3,0.1622,2026-09-25,6,1,45050980,-34183312,3
CUSIP,ID328755,1606432.56,18214919.49,EQ,2,11,2,0.6478,2033-08-16,2,2,2595453,34355715,3
ISIN,ID194593,9413344.57,34404740.56,EQ,2,10,5,0.9316,2026-04-02,1,1,-39714918,-42076420,2
SEDOL,ID291169,47812265.64,16651166.24,AFS,2,3,1,0.4777,2028-11-11,6,1,-25430122,-22570435,2
CUSIP,ID499003,44225525.88,28005645.75,EQ,1,6,5,0.9408,2032-08-16,4,1,-35624862,-133880,2
INTERNAL,ID809170,16295574.9,31162485.0,EQ,1,2,5,0.2885,2031-10-22,3,1,-40933272,-18209877,2
CUSIP,ID900637,27821300.91,28135557.61,EQ,2,8,5,0.4288,2030-02-22,4,1,-34649113,10059372,2
ISIN,ID862927,33668286.91,13954195.65,AFS,2,7,1,0.7427,2034-02-19,6,2,580500,41699879,1
CUSIP,ID619667,24366536.34,10085377.93,AFS,1,1,3,0.4854,2030-12-28,2,1,10240044,-9967849,1
ISIN,ID269199,46192967.83,44893161.78,EQ,1,1,4,0.0241,2025-09-20,2,2,43259850,33710427,2
SEDOL,ID783238,19775507.6,11341110.23,EQ,2,11,1,0.2649,2032-05-28,2,1,12059244,-45592463,1
INTERNAL,ID306087,49369916.64,27049276.38,AFS,1,11,1,0.501,2032-05-15,1,1,-44509582,-33389204,1
CUSIP,ID303228,32962338.93,36913576.31,HTM,2,7,4,0.33,2031-10-02,1,2,2056277,-13023840,1
SEDOL,ID131222,37913243.15,41459301.36,HTM,1,5,1,0.8416,2032-12-24,1,1,14624803,-32707882,3
INTERNAL,ID442497,47061337.61,26821542.69,AFS,2,9,1,0.9775,2031-01-25,4,2,22369101,-17341328,2
INTERNAL,ID837427,26667995.09,25546591.39,AFS,1,6,4,0.6113,2030-01-05,6,2,4537223,9110426,2
CUSIP,ID290962,6620344.88,36229227.64,AFS,1,11,5,0.9948,2034-08-08,2,2,38287376,-2976583,2
INTERNAL,ID532822,41544058.16,48205624.86,EQ,1,2,2,0.072,2025-05-14,2,1,30939213,-46682138,1
ISIN,ID763356,43076916.95,41333177.77,HTM,1,9,3,0.9461,2030-01-23,4,1,49473952,48122282,1
ISIN,ID997203,24787291.47,19214440.92,AFS,1,3,1,0.7401,2029-08-10,6,1,-17594672,3563778,3
ISIN,ID415978,17191989.42,43944213.7,EQ,1,5,4,0.418,2025-06-08,3,1,-47419966,-36142773,2
CUSIP,ID267854,2595019.69,47400681.44,EQ,1,8,1,0.5046,2028-06-19,3,1,-33987920,10823937,3
SEDOL,ID225695,46941306.56,17078319.57,EQ,2,2,1,0.224,2030-11-19,5,2,-27700312,2364965,3
CUSIP,ID445443,23558510.66,36955817.41,AFS,2,5,4,0.4428,2028-04-07,5,1,9708003,-28661082,1
INTERNAL,ID939595,27088404.75,36199769.14,AFS,1,5,3,0.4341,2032-02-20,4,1,2299260,17781005,2
SEDOL,ID808572,31085673.48,17119484.87,EQ,2,9,3,0.6077,2030-06-14,5,2,29190394,-30619008,2
SEDOL,ID359008,45408524.35,8540327.97,HTM,1,7,5,0.9059,2034-02-13,1,1,-21261755,-24733869,3
SEDOL,ID170933,5790415.16,19146368.3,EQ,2,3,2,0.5489,2032-11-26,6,1,7053763,-272788,2
SEDOL,ID559537,24166937.25,10895249.61,EQ,2,5,5,0.336,2028-06-29,1,2,-5748862,26149148,2
SEDOL,ID552829,2404016.31,31675916.24,EQ,1,7,1,0.9817,2028-05-06,2,1,39466773,-8675023,1
SEDOL,ID531375,44313079.04,3537174.57,AFS,1,6,3,0.6289,2026-09-12,3,1,-23198,38791992,1
INTERNAL,ID556136,48712018.83,22149480.59,EQ,2,8,1,0.333,2032-06-12,4,1,-18503519,27722542,3
ISIN,ID995665,30560794.27,28168125.79,AFS,2,9,1,0.6099,2033-10-14,1,1,34470313,22770499,2
SEDOL,ID493841,17626207.86,15131004.85,EQ,1,11,2,0.2863,2029-04-03,4,2,-35887091,24911271,3
INTERNAL,ID644059,40905102.96,23485722.98,AFS,2,2,1,0.5809,2032-05-07,5,1,-6118367,-32898659,3
CUSIP,ID464951,38676389.19,2816476.3,HTM,2,10,2,0.9379,2027-07-08,2,2,29343821,8075362,3
ISIN,ID936622,44693489.26,30303935.7,EQ,1,1,1,0.6741,2028-01-24,3,2,-48403691,-9366733,3
SEDOL,ID476479,35139188.32,15565163.43,AFS,1,9,4,0.4715,2026-11-02,2,2,865137,21062652,2
CUSIP,ID190017,30438938.23,49821070.6,EQ,1,6,4,0.2763,2025-12-21,3,2,41680624,39163226,2
ISIN,ID350470,32738128.76,49566903.18,HTM,2,5,1,0.8041,2030-12-02,6,2,28351063,-18857323,1
SEDOL,ID904136,29013675.77,18407001.8,HTM,1,4,2,0.2339,2034-06-15,1,1,-37790906,47741537,1
CUSIP,ID323182,35386292.51,41270089.43,AFS,2,6,2,0.9305,2031-10-13,4,1,-16868071,45205925,1
SEDOL,ID304552,12839173.71,14927720.92,AFS,2,7,1,0.7109,2029-06-21,3,1,-12004019,-26037528,1
INTERNAL,ID898428,2170249.56,6996539.62,HTM,2,10,2,0.1321,2031-07-31,1,2,-44583560,-8856569,1
INTERNAL,ID499430,32671760.54,20138327.39,EQ,1,6,1,0.0446,2030-08-30,4,1,25259652,20102425,1
INTERNAL,ID296046,7029487.05,39614720.1,EQ,2,2,4,0.5492,2032-05-29,2,1,-14165338,-43303079,2
SEDOL,ID678975,8896239.98,12860523.18,EQ,2,1,2,0.3521,2025-08-30,4,2,48600514,-1079422,3
ISIN,ID741725,12489493.24,34712031.04,AFS,1,1,5,0.1462,2027-03-03,4,1,-8098040,-38028633,1
INTERNAL,ID150515,14265072.59,34174006.69,EQ,2,6,2,0.8801,2026-06-01,6,2,15987535,11647215,2
CUSIP,ID934084,9370992.95,7460461.08,HTM,2,8,1,0.0073,2034-03-16,1,1,-30133543,-22095120,1
CUSIP,ID935673,21404024.64,24732911.99,AFS,1,7,4,0.1394,2029-01-28,2,2,42685411,-42334612,3
SEDOL,ID746731,31797441.72,40011644.96,EQ,2,4,5,0.3979,2031-07-13,4,1,36262468,-8549,2
SEDOL,ID563692,42343754.88,3018964.26,HTM,1,11,3,0.723,2034-08-04,4,2,2895320,2487812,2
ISIN,ID757756,10332455.82,21366993.71,HTM,1,7,3,0.9165,2033-08-19,5,1,-3385670,-47836465,1
INTERNAL,ID289558,4234617.27,1577066.73,EQ,2,11,1,0.153,2034-08-27,5,2,-1728466,-6501039,2
SEDOL,ID437249,42687236.76,31745494.95,HTM,1,7,2,0.8588,2026-04-04,5,1,-41007619,-2164872,1
ISIN,ID199704,9996326.77,18583856.01,AFS,1,9,1,0.6328,2031-10-14,6,1,27521559,-15075263,1
SEDOL,ID691920,25266462.71,41839086.05,HTM,1,10,5,0.768,2031-10-30,5,1,49407891,38918442,2
ISIN,ID828251,1919481.73,3580624.07,AFS,2,3,3,0.2851,2025-09-07,6,1,1240153,12596023,1
INTERNAL,ID893032,2532573.72,46996195.9,AFS,2,5,3,0.544,2032-02-03,2,2,-33807547,20859523,1
INTERNAL,ID576802,23839294.88,8688709.18,EQ,1,3,3,0.3437,2029-10-13,6,1,38878763,-5724889,3
ISIN,ID626775,44866663.55,42704772.64,HTM,2,11,5,0.9811,2032-04-14,4,2,31681714,-23897015,2
SEDOL,ID402423,7565372.48,5340446.9,HTM,2,2,3,0.8418,2027-09-02,4,1,-5292362,9368160,1
SEDOL,ID331871,11715729.64,22687769.95,HTM,1,6,5,0.314,2028-07-25,2,2,23754621,3006601,3
ISIN,ID453072,29336393.48,4381324.09,EQ,1,6,5,0.1238,2033-08-04,5,2,8431845,36631903,1
CUSIP,ID646900,14553141.27,15286392.2,AFS,2,7,3,0.502,2030-02-18,1,2,19281607,-16815620,1
ISIN,ID132415,27062978.2,25814007.89,EQ,1,2,4,0.1413,2028-03-23,2,1,31986706,-43669662,1
INTERNAL,ID944759,38141258.82,28219362.86,EQ,2,11,4,0.1415,2027-08-07,1,2,-28864272,5353809,2
INTERNAL,ID452867,19521891.11,40803438.35,EQ,1,5,2,0.8648,2033-09-10,1,1,2634941,-30310533,2
INTERNAL,ID950080,38437265.25,33390676.79,AFS,2,11,2,0.3385,2033-05-04,3,1,44796741,15655622,3
SEDOL,ID685723,6356688.03,30277756.36,EQ,1,1,3,0.5304,2033-10-31,6,1,10807888,47885762,2
CUSIP,ID722913,30120485.14,39921510.73,EQ,2,2,1,0.4452,2026-06-07,5,1,47392959,29941104,3
INTERNAL,ID225341,18015477.34,1615751.82,AFS,2,5,5,0.9403,2031-10-28,4,1,-36192781,42281371,3
CUSIP,ID228982,18955627.0,5518911.82,EQ,2,10,1,0.8106,2032-03-15,2,2,37135133,-4003229,2
SEDOL,ID260090,21996089.72,15570972.97,AFS,2,7,4,0.6731,2029-01-27,5,2,-34763445,18008537,1
CUSIP,ID404864,35065165.23,10720672.3,HTM,1,11,4,0.1706,2029-11-13,2,2,15090636,-45817720,1
INTERNAL,ID433671,8411853.47,35213297.23,EQ,1,2,2,0.5729,2034-10-16,1,1,-12999016,22731357,1
INTERNAL,ID530735,47855480.54,22534021.02,HTM,2,6,1,0.896,2031-11-03,3,1,24060480,-40947816,1
SEDOL,ID968971,22637312.07,47836522.03,HTM,2,7,5,0.4424,2034-08-14,5,1,48512320,-12865234,3
ISIN,ID995986,27413458.35,1627737.91,EQ,1,4,1,0.1212,2031-03-14,4,2,-36861739,-33535944,3
SEDOL,ID488069,6934771.07,24689119.26,HTM,1,8,2,0.5606,2027-09-19,4,1,-39084464,18570499,3
